source_row,halo_id,galaxy_id,kind,ra_gal,dec_gal,observed_redshift_gal,euclid_nisp_h,lm_halo,true_redshift_halo,conc_vir_halo,rs_halo,rvir_halo,hpix_29_nest,h_ab,x_arcmin,y_arcmin,pdz_sigma_log1pz,synthetic_t,synthetic_error_alias,population
17729,4140510955678,12,1,185.78206,61.68814,1.0542438,7.992188e-29,12.391819,1.0525132,4.111065,78.345184,322.08212,791684062568900053,21.64333577,-2.187023109,-5.14758,0.029379188,0.6973404574,0,Other hosts
17897,4141520581423,0,0,185.82732,61.83947,1.103591,1.0179328e-29,11.132752,1.0999364,4.497799,27.180212,122.25113,791688292542058843,23.88070223,-0.9026755561,3.93222,0.0489561445,0.6746793338,0,Other hosts
18857,4443580448590,0,0,185.91647,61.748116,1.8354089,1.349955e-29,11.651127,1.8327796,4.012591,46.392204,186.15294,791664487884910276,23.57420177,1.627142923,-1.54902,0.04627426549,1.026810325,0,Other hosts
19341,3938450303966,3,1,185.66368,61.770294,0.5748572,1.4678413e-29,11.221169,0.5731653,13.419325,9.374287,125.7966,791685429340927623,23.48330224,-5.546304226,-0.21834,0.04547889462,0.4851436861,0,Other hosts
20500,4140510955839,0,0,185.84525,61.743973,1.0527686,4.4870454e-29,11.584167,1.0547035,9.009947,19.415783,174.93517,791685010961802235,22.27009884,-0.3938741502,-1.7976,0.03486336486,0.4234141782,-1,Other hosts
21152,4140510934869,0,0,185.9149,61.842167,1.0376673,9.127014e-30,11.147588,1.0354265,11.54396,10.773082,124.36402,791664861624437889,23.99917821,1.582590876,4.09404,0.04999280932,0.6556184908,0,Other hosts
21153,4140510935196,0,0,185.99223,61.819794,1.038369,1.2331353e-28,11.858081,1.0379468,6.2798166,34.145786,214.42928,791665451545481673,21.17247317,3.776992031,2.75166,0.02525914028,0.7449992307,0,Other hosts
21154,4140510937907,2,1,185.95277,61.746933,1.0407075,4.114808e-29,11.794975,1.0434185,2.0903888,97.63257,204.09003,791664469927119567,22.36412606,2.657231659,-1.62,0.03568610304,0.7570376079,0,Other hosts
21456,3736400349523,0,0,185.86551,61.68861,0.27545664,6.005432e-29,10.983559,0.27291387,1.5194176,6.076426,98.6431,791684725103350659,21.95363937,0.181045899,-5.11938,0.03209434445,0.209222196,0,Other hosts
21730,4745650398208,0,0,185.82741,61.74317,2.9859452,9.787305e-30,11.797104,2.9861214,5.284574,39.832462,210.49759,791684989338558656,23.92334219,-0.9001216171,-1.84578,0.0493292442,1.435757192,0,Other hosts
21800,3736400369988,3624,1,185.69937,61.798122,0.27751884,9.677706e-29,14.776993,0.2762364,4.352807,424.61133,1848.2512,791685585635105769,21.43556894,-4.533525522,1.45134,0.02756122821,0.2477485477,0,Other hosts
22586,4140500203186,2,1,185.72244,61.855057,0.9579623,1.4076553e-29,11.364158,0.95603603,9.554898,15.28224,146.02025,791688605712545091,23.5287592,-3.878865821,4.86744,0.045876643,0.6580350535,0,Other hosts
23776,3736400347748,0,0,186.06566,61.680603,0.2720456,1.7987974e-29,10.888263,0.27039668,12.820032,7.711399,91.655914,791660973598375909,23.26254437,5.860722496,-5.5998,0.04354726326,0.2701878429,0,Other hosts
24956,4140500634891,0,0,185.98822,61.69461,0.9753739,1.3335264e-29,11.427143,0.97324884,9.653492,15.806187,152.5849,791661370750176677,23.58749596,3.66319986,-4.75938,0.04639058961,0.6366118796,0,Other hosts
25661,3939470220063,0,0,186.03989,61.7491,0.6850814,3.312972e-28,11.872544,0.6850724,5.92228,35.626713,210.99136,791664037414489183,20.09945559,5.129444625,-1.48998,0.01587023638,0.5254056465,0,Other hosts
26286,3939460593371,0,0,185.66988,61.700005,0.67563057,2.6599328e-29,11.112418,0.67519164,15.7739105,7.378632,116.389885,791684440790030328,22.83782334,-5.370366205,-4.43568,0.03983095421,0.5229404651,0,Other hosts
26545,4140520895945,0,0,185.862,61.864952,1.0821599,6.3550133e-29,11.713198,1.0784909,8.0255785,23.86471,191.52809,791689089129109326,21.89220884,0.08144227746,5.46114,0.03155682735,0.5058372516,-1,Other hosts
26932,3737420686090,0,0,185.86014,61.699738,0.3774366,9.9230794e-30,10.834403,0.37778595,9.37564,11.309097,89.893036,791684732507055464,23.90838383,0.02866087116,-4.4517,0.04919835855,0.3810293307,0,Other hosts
29712,4141520566194,0,0,185.81374,61.703815,1.0929179,1.3111007e-29,11.105798,1.0871277,6.2631907,19.122551,119.76818,791684767711597647,23.60590988,-1.288036576,-4.20708,0.04655171142,0.7150624744,0,Other hosts
30089,3939460594277,0,0,185.65651,61.799377,0.67616564,5.2933504e-29,11.3766775,0.6751702,10.466905,13.709493,143.49596,791685638978215939,22.09067339,-5.749768035,1.52664,0.03329339217,0.4504914384,0,Other hosts
30306,4442570311701,0,0,185.7889,61.703903,1.6076353,1.2053263e-29,11.374661,1.6085204,3.9993455,37.580486,150.29735,791684813812891493,23.69723842,-1.992923744,-4.2018,0.04735083616,1.004737559,0,Other hosts
32245,4442570512005,0,0,185.686,61.783875,1.6704117,6.646169e-29,12.117021,1.6735775,4.0494585,65.67395,265.94394,791685523393856640,21.84357155,-4.912927351,0.59652,0.03113125105,0.9775169318,0,Other hosts
32429,4443580323490,0,0,185.97665,61.730465,1.7688727,3.4887396e-29,11.882418,1.766043,7.0605354,31.577917,222.957,791664355827372845,22.54332861,3.334876811,-2.60808,0.03725412536,1.008610176,0,Other hosts
32454,4443590239116,0,0,185.73769,61.80004,1.8780795,6.8477366e-29,12.257092,1.8750793,2.896524,102.58646,297.14413,791685571377955535,21.81113238,-3.446115043,1.56642,0.03084740835,1.102556959,0,Other hosts
32830,4140490510412,0,0,185.68591,61.69005,0.89421546,2.0160052e-28,11.798569,0.8965531,6.3795786,31.686457,202.14624,791684411050497586,20.63877088,-4.91548129,-5.03298,0.0205892452,0.6415996195,0,Other hosts
33261,3736400369988,2726,1,185.84758,61.77825,0.28053945,1.8734848e-28,14.776993,0.2762364,4.352807,424.61133,1848.2512,791687994370481403,20.71837457,-0.3277555069,0.25902,0.02128577745,0.2560805798,0,Other hosts
